timestamp	phase	worker	class_name	block	seed	task	sub_task	steps	termination_status	source	agent_dir	agent_pos	reward	action_space	observation_space
20200225T175826.015588	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	2531715660	219	0	11	DONE	NEXT	1	[4 4]	0.93125	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175826.032889	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	3362434831	221	0	7	DONE	NEXT	1	[4 4]	0.95625	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175826.063473	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	3451290098	222	0	12	DONE	NEXT	1	[4 4]	0.925	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175826.093654	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	360844499	224	0	12	DONE	NEXT	0	[4 4]	0.925	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175826.124996	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	2430944741	226	0	13	DONE	NEXT	1	[4 4]	0.91875	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175826.141241	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	948999707	228	0	7	DONE	NEXT	1	[4 4]	0.95625	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175826.163395	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	4121530527	229	0	7	DONE	NEXT	1	[4 4]	0.95625	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175826.213535	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	2212342984	231	0	21	DONE	NEXT	0	[4 4]	0.86875	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175826.243019	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	3376867050	234	0	8	DONE	NEXT	1	[4 4]	0.95	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175826.295218	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	3467501765	236	0	18	DONE	NEXT	1	[4 4]	0.8875	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175826.331311	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	3185835205	238	0	15	DONE	NEXT	0	[4 4]	0.90625	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175826.365278	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	3315703731	239	0	15	DONE	NEXT	1	[4 4]	0.90625	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175826.442538	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	2389292394	240	0	31	DONE	NEXT	1	[4 4]	0.80625	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175826.463551	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	2678578957	244	0	9	DONE	NEXT	1	[4 4]	0.94375	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175826.489281	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	2661759859	245	0	8	DONE	NEXT	1	[4 4]	0.95	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175826.749242	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	2614221544	247	0	11	DONE	NEXT	1	[4 4]	0.93125	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175826.795490	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	1612575397	248	0	19	DONE	NEXT	0	[4 4]	0.88125	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175826.816738	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	3159840825	251	0	9	DONE	NEXT	0	[4 4]	0.94375	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175826.878664	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	2069327781	252	0	30	DONE	NEXT	1	[4 4]	0.8125	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175826.907930	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	401126723	255	0	12	DONE	NEXT	1	[4 4]	0.925	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175826.961780	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	1173291573	257	0	21	DONE	NEXT	1	[4 4]	0.86875	Discrete(7)	Dict(image:Box(7, 7, 3))
